code,name,country,latitude,longitude
KOA,Kona International Airport at Keahole,United States,19.7388,-156.0456
PLN,Pellston Regional Airport,United States,45.5709,-84.7967
SAN,San Diego International Airport,United States,32.7336,-117.1904
GNV,Gainesville Regional Airport,United States,29.689,-82.2765
HLN,Helena Regional Airport,United States,46.6068,-111.983
GJT,Grand Junction Regional Airport,United States,39.1224,-108.526
CPR,Casper/Natrona County International Airport,United States,42.9098,-106.464
FSM,Fort Smith Regional Airport,United States,35.3366,-94.3674
CMI,University of Illinois Willard Airport,United States,40.0392,-88.2781
GTF,Great Falls International Airport,United States,47.4819,-111.3707
HDN,Yampa Valley Regional Airport,United States,40.4812,-107.2181
ITO,Hilo International Airport,United States,19.7214,-155.048
MTJ,Montrose Regional Airport,United States,38.5098,-107.8942
HSV,Huntsville International Airport,United States,34.6405,-86.7731
BTM,Bert Mooney Airport,United States,45.9511,-112.4978
BIL,Billings Logan International Airport,United States,45.8077,-108.5429
COU,Columbia Regional Airport,United States,38.8171,-92.2186
MSO,Missoula International Airport,United States,46.9163,-114.0906
SMX,Santa Maria Public Airport,United States,34.9009,-120.457
TWF,Magic Valley Regional Airport,United States,42.4818,-114.4871
ISP,Long Island MacArthur Airport,United States,40.7952,-73.1002
GCC,Gillette-Campbell County Airport,United States,44.3489,-105.539
LIH,Lihue Airport,United States,21.976,-159.339
LNK,Lincoln Airport,United States,40.851,-96.759
DAB,Daytona Beach International Airport,United States,29.1848,-81.0603
SNA,John Wayne Airport,United States,33.6757,-117.8682
MQT,Sawyer International Airport,United States,46.3536,-87.3954
LGB,Long Beach Airport,United States,33.8177,-118.1519
CWA,Central Wisconsin Airport,United States,44.7804,-89.6708
LSE,La Crosse Regional Airport,United States,43.8792,-91.256
BUR,Bob Hope Airport,United States,34.2007,-118.3587
ACT,Waco Regional Airport,United States,31.6113,-97.2305
MHK,Manhattan Regional Airport,United States,39.1409,-96.6708
MOT,Minot International Airport,United States,48.2594,-101.2806
IDA,Idaho Falls Regional Airport,United States,43.5146,-112.0701
SUN,Friedman Memorial Airport,United States,43.5044,-114.2961
GTR,Golden Triangle Regional Airport,United States,33.4503,-88.5914
MLB,Orlando Melbourne International Airport,United States,28.1028,-80.6458
SRQ,Sarasota-Bradenton International Airport,United States,27.3954,-82.5544
JAC,Jackson Hole Airport,United States,43.6073,-110.7378
ASE,Aspen-Pitkin County Airport,United States,39.2232,-106.8691
LCH,Lake Charles Regional Airport,United States,30.1261,-93.2234
JNU,Juneau International Airport,United States,58.355,-134.576
ROW,Roswell International Air Center,United States,33.3016,-104.5305
